,town_code,agas_code,town,date,year,style_code,under_60,over_60,daily_cases,daily_recoveries,daily_hospitalized,daily_deaths,daily_diagnostic_tests,daily_vaccination_first_dose,daily_vaccination_second_dose,daily_vaccination_third_dose,latitude,longitude,week_of_year
853466,531,9999,עראבה,2021-08-13,2021,260,24545.0,2094.0,13,1,2,0,207,54,9,106,32.8530087,35.3361947,32
858124,8900,9999,טמרה,2021-08-15,2021,260,32079.0,3327.0,6,1,1,0,131,58,16,210,32.8552512,35.1859141,32
866329,8900,9999,טמרה,2021-08-20,2021,260,32079.0,3327.0,14,5,1,0,246,79,19,180,32.8552512,35.1859141,33
869876,531,9999,עראבה,2021-08-23,2021,260,24545.0,2094.0,15,6,2,0,227,47,13,105,32.8530087,35.3361947,34
871252,8900,9999,טמרה,2021-08-23,2021,260,32079.0,3327.0,19,1,1,0,347,90,30,376,32.8552512,35.1859141,34
871517,531,9999,עראבה,2021-08-24,2021,260,24545.0,2094.0,18,13,1,0,190,123,22,125,32.8530087,35.3361947,34
872893,8900,9999,טמרה,2021-08-24,2021,260,32079.0,3327.0,29,8,0,1,332,141,15,333,32.8552512,35.1859141,34
873180,638,9999,קלנסווה,2021-08-25,2021,260,22071.0,1807.0,10,5,1,0,203,170,12,162,32.2854576,34.9810942,34
875539,6000,9999,באקה אל-גרביה,2021-08-26,2021,260,28210.0,2764.0,17,8,0,0,164,127,18,222,32.419305,35.035289,34
876175,8900,9999,טמרה,2021-08-26,2021,260,32079.0,3327.0,21,11,0,0,251,149,21,250,32.8552512,35.1859141,34
881363,531,9999,עראבה,2021-08-30,2021,260,24545.0,2094.0,14,12,1,0,197,74,21,220,32.8530087,35.3361947,35
884380,8900,9999,טמרה,2021-08-31,2021,260,32079.0,3327.0,30,36,0,0,306,205,24,229,32.8552512,35.1859141,35
904337,531,9999,עראבה,2021-09-13,2021,260,24545.0,2094.0,25,10,0,0,502,159,83,251,32.8530087,35.3361947,37
920747,531,9999,עראבה,2021-09-23,2021,260,24545.0,2094.0,63,39,1,0,838,23,32,64,32.8530087,35.3361947,38
933610,8900,9999,טמרה,2021-09-30,2021,260,32079.0,3327.0,10,66,0,0,370,47,53,315,32.8552512,35.1859141,39
935538,638,9999,קלנסווה,2021-10-02,2021,260,22071.0,1807.0,23,13,1,0,312,86,68,236,32.2854576,34.9810942,39
937157,531,9999,עראבה,2021-10-03,2021,260,24545.0,2094.0,13,41,1,0,432,42,26,191,32.8530087,35.3361947,39
937179,638,9999,קלנסווה,2021-10-03,2021,260,22071.0,1807.0,63,64,0,0,1003,13,19,110,32.2854576,34.9810942,39
937897,6000,9999,באקה אל-גרביה,2021-10-03,2021,260,28210.0,2764.0,17,44,0,1,563,46,43,313,32.419305,35.035289,39
938533,8900,9999,טמרה,2021-10-03,2021,260,32079.0,3327.0,9,68,0,0,228,65,45,419,32.8552512,35.1859141,39
938798,531,9999,עראבה,2021-10-04,2021,260,24545.0,2094.0,17,37,1,0,413,48,69,254,32.8530087,35.3361947,40
938820,638,9999,קלנסווה,2021-10-04,2021,260,22071.0,1807.0,56,40,1,0,1432,59,54,190,32.2854576,34.9810942,40
942102,638,9999,קלנסווה,2021-10-06,2021,260,22071.0,1807.0,11,86,2,0,318,51,49,198,32.2854576,34.9810942,40
953589,638,9999,קלנסווה,2021-10-13,2021,260,22071.0,1807.0,7,41,1,0,212,54,67,71,32.2854576,34.9810942,41
1111070,481,9999,מגאר,2022-01-17,2022,260,21625.0,2373.0,219,42,3,15,1172,2,5,11,32.8872843,35.4091765,3
1113772,7200,7,נס ציונה,2022-01-18,2022,150,4657.0,1506.0,58,47,15,0,367,0,1,4,31.932111,34.801327,3
1114385,531,9999,עראבה,2022-01-19,2022,260,24878.0,2238.0,188,84,1,0,894,10,11,21,32.8530087,35.3361947,3
1114407,638,9999,קלנסווה,2022-01-19,2022,260,22277.0,1929.0,198,86,2,0,1108,8,21,30,32.2854576,34.9810942,3
1114679,2640,5,ראש העין,2022-01-19,2022,150,3615.0,764.0,53,81,15,0,295,0,0,0,32.095838,34.952177,3
1116026,531,9999,עראבה,2022-01-20,2022,260,24878.0,2238.0,352,72,1,0,1539,12,16,16,32.8530087,35.3361947,3
1117798,1200,23,מודיעין-מכבים-רעות,2022-01-21,2022,150,8789.0,1323.0,56,112,15,0,346,1,5,3,31.888235,35.02302299999999,3
1120684,8900,9999,טמרה,2022-01-22,2022,260,32317.0,3518.0,514,540,1,0,1767,3,1,0,32.8552512,35.1859141,3
1122325,8900,9999,טמרה,2022-01-23,2022,260,32317.0,3518.0,479,536,2,0,1658,6,6,9,32.8552512,35.1859141,3
1122590,531,9999,עראבה,2022-01-24,2022,260,24878.0,2238.0,471,249,2,0,1750,9,2,6,32.8530087,35.3361947,4
1122725,1200,34,מודיעין-מכבים-רעות,2022-01-24,2022,150,8325.0,713.0,116,93,15,0,444,1,5,10,31.888235,35.02302299999999,4
1123688,7500,9999,סח'נין,2022-01-24,2022,260,30194.0,2994.0,583,399,2,0,2090,3,11,9,32.8621403,35.2996234,4
1123835,8300,523,ראשון לציון,2022-01-24,2022,130,3391.0,1080.0,50,58,15,0,235,0,5,3,31.95908129999999,34.8020886,4
1123966,8900,9999,טמרה,2022-01-24,2022,260,32317.0,3518.0,510,469,2,1,1552,3,5,3,32.8552512,35.1859141,4
1124231,531,9999,עראבה,2022-01-25,2022,260,24878.0,2238.0,376,224,2,0,1380,1,3,5,32.8530087,35.3361947,4
1126970,7500,9999,סח'נין,2022-01-26,2022,260,30194.0,2994.0,375,586,3,0,1308,1,0,5,32.8621403,35.2996234,4
1127248,8900,9999,טמרה,2022-01-26,2022,260,32317.0,3518.0,322,457,1,0,1161,2,4,4,32.8552512,35.1859141,4
1128611,7500,9999,סח'נין,2022-01-27,2022,260,30194.0,2994.0,432,456,1,0,1300,4,11,11,32.8621403,35.2996234,4
1133812,8900,9999,טמרה,2022-01-30,2022,260,32317.0,3518.0,286,379,2,0,985,1,6,4,32.8552512,35.1859141,4
1134077,531,9999,עראבה,2022-01-31,2022,260,24878.0,2238.0,213,356,2,0,988,0,6,5,32.8530087,35.3361947,5
1135175,7500,9999,סח'נין,2022-01-31,2022,260,30194.0,2994.0,386,374,2,0,1015,0,5,2,32.8621403,35.2996234,5
